code,taxrate
AL,468015
AK,120028
AZ,1266990
AR,1308040
CA,3151488
CO,51669.11111
CT,51669.11111
DE,51669.11111
DC,2994580
FL,51669.11111
GA,732325
HI,51669.11111
ID,51669.11111
IL,59589
IN,13876
IA,2024
KS,815701
KY,707461
LA,103750
ME,44636
MD,893215
MA,10368
MI,2396416
MN,809160
MS,29885
MO,37418
MT,334759
NE,123
NV,386450
NH,401407
NJ,5166
NM,114185
NY,51669.11111
NC,51669.11111
ND,5207
OH,51669.11111
OK,51669.11111
OR,25127
PA,40395
RI,3864
SC,78975
SD,51669.11111
TN,51669.11111
TX,51669.11111
UT,51669.11111
VT,1203059
VA,43332
WA,4350245
WV,8122
WI,95757
WY,295925
